provider,token,category,automatic_crawler,robots_txt_behavior,primary_purpose,source_url,source_checked
OpenAI,OAI-SearchBot,search-discovery,true,"OpenAI documents this as an independent robots.txt control","Surface websites in ChatGPT search results",https://developers.openai.com/api/docs/bots,2026-08-29
OpenAI,GPTBot,model-training,true,"OpenAI documents this as an independent robots.txt control","Collect content that may be used to improve and train foundation models",https://developers.openai.com/api/docs/bots,2026-08-29
OpenAI,ChatGPT-User,user-triggered-retrieval,false,"OpenAI says robots.txt rules may not apply to user-triggered actions","Fetch a page for certain user actions in ChatGPT and custom GPTs",https://developers.openai.com/api/docs/bots,2026-08-29
Anthropic,Claude-SearchBot,search-discovery,true,"Anthropic says its bots honor standard robots.txt directives","Navigate the web to improve Claude search-result quality",https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler,2026-08-29
Anthropic,ClaudeBot,model-training,true,"Anthropic says its bots honor standard robots.txt directives","Collect public web content that may contribute to model training",https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler,2026-08-29
Anthropic,Claude-User,user-triggered-retrieval,false,"Anthropic documents this as a distinct robots.txt control","Retrieve web content at a Claude user's direction",https://support.claude.com/en/articles/8896518-does-anthropic-crawl-data-from-the-web-and-how-can-site-owners-block-the-crawler,2026-08-29
Perplexity,PerplexityBot,search-discovery,true,"Perplexity recommends allowing the token and its published IP ranges for search discovery","Surface and link websites in Perplexity search results",https://docs.perplexity.ai/docs/resources/perplexity-crawlers,2026-08-29
Perplexity,Perplexity-User,user-triggered-retrieval,false,"Perplexity says the user-requested fetcher generally ignores robots.txt","Visit a page in response to a Perplexity user request",https://docs.perplexity.ai/docs/resources/perplexity-crawlers,2026-08-29
Google,Googlebot,search-discovery,true,"Google says its common crawlers obey robots.txt when crawling automatically","Build Google Search indexes and serve related search products",https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers,2026-08-29
Google,Google-Extended,training-and-grounding-control,false,"Google documents a robots.txt control token with no separate HTTP user-agent string","Control use for future Gemini training and Gemini grounding without affecting Google Search inclusion or ranking",https://developers.google.com/crawling/docs/crawlers-fetchers/google-common-crawlers,2026-08-29
